1   849555  849556  1167336 1167337 861219  860982
2   845106  845107  1171086 1171087 860981  860257
4   848669  848670  1171198 1171199 863027  862307
8   828520  828521  1158247 1158248 859350  858899
16  835946  835947  1163405 1163406 856881  856418
32  837624  837625  1145328 1145329 861550  861133
64  824114  824115  1156624 1156625 850320  849599
128 811344  811345  1160676 1160677 847531  846980
256 813958  813959  1154616 1154617 842601  841396
512 804584  804585  1164623 1164624 833461  832452
1024	767812	767813	1118676	1118677	808018	806991
2048	693760	693761	1050507	1050508	766594	765236
4096	561885	561886	920261	920262	682312	681197
8192	417609	417610	768034	768035	598846	597855
16384	268808	268809	590358	590359	478197	477303
